מזהה,שם המוצר / שובר,ספק / מותג,קטגוריה,מחיר בהצדעה ₪,מחיר מקורי ₪,אחוז חיסכון %,תגיות מבצע,מיקום / משלוח,תוקף המבצע,הגבלת רכישה,רשת מקושרת,קישור למוצר
165921,שמיכת מזגן Cool Air - ורדינון,שמיכת מזגן Cool Air,טקסטיל והלבשה,135.0,179.0,25%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/165921
159821,זוג כריות שינה פספול מלון סטאי מבית Cotton Club,Cotton Club,טקסטיל והלבשה,79.0,109.0,28%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/159821
184340,מארז 3 חולצות מנדפות לגברים מבית Aztec,Aztec,טקסטיל והלבשה,79.0,79.0,0%,טקסטיל והלבשה,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/184340
24153,סט מצעים לילדים 100% כותנה - ורדינון,סט מצעים לילדים 100% כותנה,טקסטיל והלבשה,99.0,99.0,0%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/24153
163166,כרית פספול ושמיכה הולופייבר מלון סטאי Cotton Club,בהצדעה,טקסטיל והלבשה,99.0,199.0,50%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/163166
181254,מארז 2 חולצות Lacoste,בהצדעה,טקסטיל והלבשה,14.0,89.0,84%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/181254
176115,סט מצעים כותנה איכותי ויוקרתי דו צדדי מגוון דגמים,בהצדעה,טקסטיל והלבשה,26.0,99.0,74%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/176115
181338,סט מצעים זוגי/ענק 100% כותנה 'זריחה' מבית Yard&co,בהצדעה,טקסטיל והלבשה,115.0,135.0,15%,טקסטיל והלבשה,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/181338
180330,שמיכת קיץ דגם נורי - ורדינון,שמיכת קיץ דגם נורי,טקסטיל והלבשה,95.0,145.0,34%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/180330
181698,מצעי 100% כותנה סאטן 300 פארטו סטאי Cotton Club,בהצדעה,טקסטיל והלבשה,249.0,269.0,7%,טקסטיל והלבשה,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/181698
177630,סט מצעי כותנה דגם 'היילי' מבית כיתן,כיתן,טקסטיל והלבשה,139.0,179.0,22%,טקסטיל והלבשה,כולל משלוח עד הבית,,,כיתן,https://www.behatsdaa.org.il/category/productPage/177630
183376,מארז 6 תחתוני בוקסר Columbia Col Poly Stretch,בהצדעה,טקסטיל והלבשה,145.0,145.0,0%,טקסטיל והלבשה,כולל משלוח עד הבית,,,ללא,https://www.behatsdaa.org.il/category/productPage/183376
182023,זוג חולצת דרייפיט Under Armour,בהצדעה,טקסטיל והלבשה,17.0,135.0,87%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/182023
183491,זוג כריות פספול ושמיכת קיץ זוגית סטאי Cotton Club,בהצדעה,טקסטיל והלבשה,149.0,179.0,17%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/183491
169198,סט זוגי 100% כותנה סאטן ריץ קרלטון Cotton Club,בהצדעה,טקסטיל והלבשה,229.0,269.0,15%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/169198
185058,סט מצעי כותנה מצרית דגם 'דיליה' - ורדינון,סט מצעי כותנה מצרית דגם 'דיליה',טקסטיל והלבשה,299.0,319.0,6%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/185058
160049,מארז 5 חולצות טי Umbro לגברים 100% כותנה,בהצדעה,טקסטיל והלבשה,14.0,69.0,80%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/160049
169065,מארז 20 מגבות של מלון סטאי מבית Cotton Club,Cotton Club,טקסטיל והלבשה,149.0,179.0,17%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/169065
184149,חלוק מגבת 100% כותנה מלון סטאי Cotton Club,בהצדעה,טקסטיל והלבשה,79.0,109.0,28%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/184149
155481,מארז 3 מגבות ענק עבות 100% כותנה מבית Swiss Bath,Swiss Bath,טקסטיל והלבשה,14.0,85.0,84%,טקסטיל והלבשה,מגוון סניפים,,,ללא,https://www.behatsdaa.org.il/category/productPage/155481
